,Rank_x,Name,Successful tackles,Season,Rank_y,Tackle points,Rank,Position,Matches played,Avg tackle points,Team
1016,78.0,Vinod Kumar,8.0,SEASON 5,58.0,14.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1017,78.0,Vinod Kumar,8.0,SEASON 5,58.0,14.0,101.0,Raider,19.0,0.42,Bengal Warriors
1018,78.0,Vinod Kumar,8.0,SEASON 5,80.0,8.0,80.0,Raider,21.0,0.67,Patna Pirates
1019,78.0,Vinod Kumar,8.0,SEASON 5,80.0,8.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1020,78.0,Vinod Kumar,8.0,SEASON 5,80.0,8.0,101.0,Raider,19.0,0.42,Bengal Warriors
1021,78.0,Vinod Kumar,8.0,SEASON 5,120.0,2.0,80.0,Raider,21.0,0.67,Patna Pirates
1022,78.0,Vinod Kumar,8.0,SEASON 5,120.0,2.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1023,78.0,Vinod Kumar,8.0,SEASON 5,120.0,2.0,101.0,Raider,19.0,0.42,Bengal Warriors
1024,116.0,Vinod Kumar,2.0,SEASON 5,58.0,14.0,80.0,Raider,21.0,0.67,Patna Pirates
1025,116.0,Vinod Kumar,2.0,SEASON 5,58.0,14.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1026,116.0,Vinod Kumar,2.0,SEASON 5,58.0,14.0,101.0,Raider,19.0,0.42,Bengal Warriors
1027,116.0,Vinod Kumar,2.0,SEASON 5,80.0,8.0,80.0,Raider,21.0,0.67,Patna Pirates
1028,116.0,Vinod Kumar,2.0,SEASON 5,80.0,8.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1029,116.0,Vinod Kumar,2.0,SEASON 5,80.0,8.0,101.0,Raider,19.0,0.42,Bengal Warriors
1030,116.0,Vinod Kumar,2.0,SEASON 5,120.0,2.0,80.0,Raider,21.0,0.67,Patna Pirates
1031,116.0,Vinod Kumar,2.0,SEASON 5,120.0,2.0,97.0,"Defender, Left Cover",4.0,0.5,Telugu Titans
1032,116.0,Vinod Kumar,2.0,SEASON 5,120.0,2.0,101.0,Raider,19.0,0.42,Bengal Warriors
1033,71.0,Tapas Pal,9.0,SEASON 5,73.0,9.0,28.0,All Rounder,5.0,1.8,Dabang Delhi Kc
1034,71.0,Nitin Tomar,9.0,SEASON 5,72.0,10.0,97.0,Raider,20.0,0.5,Up Yoddha
1035,71.0,Rohit Baliyan,9.0,SEASON 5,73.0,9.0,96.0,Raider,17.0,0.53,Dabang Delhi Kc
1036,78.0,Meraj Sheykh,8.0,SEASON 5,80.0,8.0,105.0,All Rounder,20.0,0.4,Dabang Delhi Kc
1037,78.0,Santhosh B.S,8.0,SEASON 5,73.0,9.0,63.0,"Defender, Left Corner",9.0,1.0,Up Yoddha
1038,81.0,Kashiling Adake,7.0,SEASON 5,80.0,8.0,105.0,Raider,20.0,0.4,U Mumba
1039,81.0,Gurvinder Singh,7.0,SEASON 5,85.0,7.0,63.0,"Defender, Left Cover",5.0,1.0,Up Yoddha
1040,81.0,Gurvinder Singh,7.0,SEASON 5,85.0,7.0,76.0,Raider,9.0,0.78,Bengaluru Bulls
1041,81.0,Gurvinder Singh,7.0,SEASON 5,95.0,5.0,63.0,"Defender, Left Cover",5.0,1.0,Up Yoddha
1042,81.0,Gurvinder Singh,7.0,SEASON 5,95.0,5.0,76.0,Raider,9.0,0.78,Bengaluru Bulls
1043,90.0,Gurvinder Singh,5.0,SEASON 5,85.0,7.0,63.0,"Defender, Left Cover",5.0,1.0,Up Yoddha
1044,90.0,Gurvinder Singh,5.0,SEASON 5,85.0,7.0,76.0,Raider,9.0,0.78,Bengaluru Bulls
1045,90.0,Gurvinder Singh,5.0,SEASON 5,95.0,5.0,63.0,"Defender, Left Cover",5.0,1.0,Up Yoddha
1046,90.0,Gurvinder Singh,5.0,SEASON 5,95.0,5.0,76.0,Raider,9.0,0.78,Bengaluru Bulls
1047,81.0,Deepak Yadav,7.0,SEASON 5,80.0,8.0,19.0,"Defender, Right Cover",4.0,2.0,U Mumba
1048,84.0,Vishal,6.0,SEASON 5,73.0,9.0,28.0,All Rounder,5.0,1.8,Dabang Delhi Kc
1049,84.0,Rahul Kumar,6.0,SEASON 5,90.0,6.0,88.0,"Defender, Right Cover",10.0,0.6,Bengal Warriors
1050,84.0,Manoj Dhull,6.0,SEASON 5,90.0,6.0,80.0,"Defender, Right Corner",9.0,0.67,Jaipur Pink Panthers
1051,84.0,Sachin Kumar,6.0,SEASON 5,90.0,6.0,80.0,"Defender, Left Corner",9.0,0.67,Bengaluru Bulls
1052,84.0,D. Suresh Kumar,6.0,SEASON 5,80.0,8.0,33.0,"Defender, Right Cover",5.0,1.6,U Mumba
1053,90.0,Mahendra Ganesh Rajput,5.0,SEASON 5,95.0,5.0,118.0,Raider,17.0,0.29,Gujarat Fortunegiants
1054,90.0,Nilesh Salunke,5.0,SEASON 5,85.0,7.0,111.0,Raider,21.0,0.33,Telugu Titans
1055,90.0,Abolfazl Maghsodloumahali,5.0,SEASON 5,90.0,6.0,116.0,Raider,19.0,0.32,Dabang Delhi Kc
1056,90.0,Hadi Tajik,5.0,SEASON 5,95.0,5.0,94.0,"Defender, Right Corner",9.0,0.56,Up Yoddha
1057,90.0,Mohsen Maghsoudloujafari,5.0,SEASON 5,90.0,6.0,108.0,Raider,16.0,0.38,Telugu Titans
1058,97.0,Vikas Kumar,4.0,SEASON 5,95.0,5.0,110.0,Raider,14.0,0.36,Telugu Titans
1059,97.0,Darshan Kadian,4.0,SEASON 5,85.0,7.0,100.0,Raider,16.0,0.44,U Mumba
1060,97.0,Sanket Chavan,4.0,SEASON 5,104.0,4.0,93.0,"Defender, Left Corner",7.0,0.57,Tamil Thalaivas
1061,97.0,Preetam Chhillar,4.0,SEASON 5,104.0,4.0,119.0,All Rounder,16.0,0.25,Bengaluru Bulls
1062,97.0,Mahesh Goud,4.0,SEASON 5,85.0,7.0,111.0,Raider,21.0,0.33,Up Yoddha
1063,97.0,Rishank Devadiga,4.0,SEASON 5,95.0,5.0,121.0,Raider,21.0,0.24,Up Yoddha
1064,97.0,CPO Surjeet Singh,4.0,SEASON 5,104.0,4.0,121.0,Raider,17.0,0.24,Haryana Steelers
1065,104.0,Vikas Jaglan,3.0,SEASON 5,110.0,3.0,123.0,Raider,13.0,0.23,Patna Pirates
1066,104.0,Ravi Dalal,3.0,SEASON 5,110.0,3.0,88.0,Raider,5.0,0.6,Dabang Delhi Kc
1067,104.0,Jasvir Singh,3.0,SEASON 5,95.0,5.0,111.0,Raider,15.0,0.33,Jaipur Pink Panthers
1068,104.0,Jeeva Gopal,3.0,SEASON 5,95.0,5.0,74.0,"Defender, Left Cover",6.0,0.83,Haryana Steelers
1069,104.0,Ashish Chhokar,3.0,SEASON 5,110.0,3.0,88.0,Raider,5.0,0.6,Haryana Steelers
1070,104.0,Tushar Patil,3.0,SEASON 5,110.0,3.0,124.0,Raider,17.0,0.18,Jaipur Pink Panthers
1071,104.0,Vijin Thangadurai,3.0,SEASON 5,104.0,4.0,111.0,"Defender, Right Cover",12.0,0.33,Tamil Thalaivas
1072,104.0,Deepak Kumar Rathee,3.0,SEASON 5,104.0,4.0,80.0,All Rounder,6.0,0.67,Haryana Steelers
1073,104.0,Vijay Kumar,3.0,SEASON 5,95.0,5.0,85.0,"Defender, Left Corner",8.0,0.63,Tamil Thalaivas
1074,104.0,Rohit Gulia,3.0,SEASON 5,110.0,3.0,125.0,All Rounder,19.0,0.16,Gujarat Fortunegiants
1075,104.0,Satish,3.0,SEASON 5,110.0,3.0,117.0,"Defender, Right Corner",10.0,0.3,Patna Pirates
1076,104.0,Muruthu M,3.0,SEASON 5,110.0,3.0,63.0,"Defender, Right Cover",3.0,1.0,Tamil Thalaivas
1077,116.0,Rakshith,2.0,SEASON 5,120.0,2.0,,,,,
1078,116.0,Tushar Balaram Bhoir,2.0,SEASON 5,110.0,3.0,108.0,"Defender, Right Cover",8.0,0.38,Dabang Delhi Kc
1079,116.0,E Subash,2.0,SEASON 5,110.0,3.0,38.0,All Rounder,2.0,1.5,U Mumba
1080,116.0,Elangeshwaran R,2.0,SEASON 5,104.0,4.0,75.0,All Rounder,5.0,0.8,Telugu Titans
1081,116.0,M. Thivakaran,2.0,SEASON 5,120.0,2.0,,,,,
1082,116.0,Babu M,2.0,SEASON 5,120.0,2.0,63.0,"Defender, Left Cover",2.0,1.0,Haryana Steelers
1083,116.0,More GB,2.0,SEASON 5,120.0,2.0,,,,,
1084,116.0,Shashank Wankhede,2.0,SEASON 5,120.0,2.0,80.0,"Defender, Left Cover",3.0,0.67,Bengal Warriors
1085,116.0,Young Chang Ko,2.0,SEASON 5,120.0,2.0,126.0,"Defender, Left Cover",14.0,0.14,Bengal Warriors
1086,116.0,Anil Kumar,2.0,SEASON 5,120.0,2.0,105.0,"Defender, Left Corner",5.0,0.4,Tamil Thalaivas
1087,116.0,Anil Kumar,2.0,SEASON 5,136.0,1.0,105.0,"Defender, Left Corner",5.0,0.4,Tamil Thalaivas
1088,135.0,Anil Kumar,1.0,SEASON 5,120.0,2.0,105.0,"Defender, Left Corner",5.0,0.4,Tamil Thalaivas
1089,135.0,Anil Kumar,1.0,SEASON 5,136.0,1.0,105.0,"Defender, Left Corner",5.0,0.4,Tamil Thalaivas
1090,116.0,Kuldeep,2.0,SEASON 5,120.0,2.0,,,,,
1091,116.0,Deepak Narwal,2.0,SEASON 5,120.0,2.0,128.0,Raider,16.0,0.13,Bengal Warriors
1092,116.0,Deepak Kumar Dahiya,2.0,SEASON 5,120.0,2.0,128.0,Raider,16.0,0.13,Haryana Steelers
1093,116.0,Maninder Singh,2.0,SEASON 5,120.0,2.0,133.0,Raider,21.0,0.1,Bengal Warriors
1094,116.0,Parmod Narwal,2.0,SEASON 5,120.0,2.0,111.0,All Rounder,6.0,0.33,Haryana Steelers
1095,116.0,Shabeer Bappu,2.0,SEASON 5,110.0,3.0,119.0,Raider,12.0,0.25,U Mumba
1096,116.0,Sukesh Hegde,2.0,SEASON 5,120.0,2.0,131.0,Raider,18.0,0.11,Gujarat Fortunegiants
1097,135.0,Rupesh Tomar,1.0,SEASON 5,136.0,1.0,,,,,
1098,135.0,Manoj Kumar,1.0,SEASON 5,136.0,1.0,,,,,
1099,135.0,Rajesh Mondal,1.0,SEASON 5,136.0,1.0,136.0,Raider,24.0,0.04,Puneri Paltan
1100,135.0,Prashanth Kumar Rai,1.0,SEASON 5,120.0,2.0,128.0,Raider,16.0,0.13,Haryana Steelers
1101,135.0,Rakesh Narwal,1.0,SEASON 5,136.0,1.0,,,,,
1102,135.0,K. Prapanjan,1.0,SEASON 5,136.0,1.0,135.0,Raider,22.0,0.05,Tamil Thalaivas
1103,135.0,Ravinder Kumar,1.0,SEASON 5,136.0,1.0,,,,,
1104,135.0,Mayur Shivtarkar,1.0,SEASON 5,136.0,1.0,,,,,
1105,135.0,Vishnu Uthaman,1.0,SEASON 5,136.0,1.0,,,,,
1106,135.0,Pawan Kumar Sehrawat,1.0,SEASON 5,136.0,1.0,,,,,
1107,135.0,Rahul Choudhary,1.0,SEASON 5,136.0,1.0,,,,,
1108,135.0,Ajvender Singh,1.0,SEASON 5,136.0,1.0,,,,,
1109,135.0,R. Sriram,1.0,SEASON 5,136.0,1.0,134.0,Raider,11.0,0.09,Dabang Delhi Kc
1110,135.0,Sanoj Kumar,1.0,SEASON 5,136.0,1.0,97.0,"Defender, Left Cover",2.0,0.5,Up Yoddha
1111,1.0,Amit Hooda,47.0,SEASON 4,2.0,51.0,4.0,"Defender, Right Corner",16.0,3.19,Jaipur Pink Panthers
1112,2.0,Fazel Atrachali,45.0,SEASON 4,1.0,52.0,3.0,"Defender, Left Corner",16.0,3.25,Patna Pirates
1113,3.0,Mohit Chhillar,44.0,SEASON 4,3.0,47.0,2.0,"Defender, Right Corner",14.0,3.36,Bengaluru Bulls
1114,4.0,Manjeet Chhillar,43.0,SEASON 4,4.0,44.0,1.0,All Rounder,12.0,3.67,Puneri Paltan
1115,5.0,Sandeep Narwal,40.0,SEASON 4,6.0,42.0,11.0,All Rounder,16.0,2.63,Telugu Titans
1116,6.0,Sachin Shingade,39.0,SEASON 4,4.0,44.0,5.0,"Defender, Left Cover",14.0,3.14,Dabang Delhi Kc
1117,7.0,Sandeep Kumar Dhull,35.0,SEASON 4,10.0,35.0,7.0,"Defender, Left Corner",12.0,2.92,Telugu Titans
1118,7.0,Ravinder Pahal,35.0,SEASON 4,8.0,37.0,9.0,"Defender, Right Corner",14.0,2.64,Puneri Paltan
1119,9.0,PO Surjeet Singh,33.0,SEASON 4,8.0,37.0,9.0,"Defender, Right Cover",14.0,2.64,U Mumba
1120,10.0,Joginder Singh Narwal,32.0,SEASON 4,11.0,34.0,17.0,"Defender, Left Corner",16.0,2.13,Puneri Paltan
1121,11.0,Dharmaraj Cheralathan,31.0,SEASON 4,7.0,39.0,8.0,"Defender, Right And Left Corner",14.0,2.79,Patna Pirates
1122,12.0,Vinod Kumar,30.0,SEASON 4,15.0,30.0,13.0,"Defender, Left Cover",12.0,2.5,Telugu Titans
1123,12.0,Vinod Kumar,30.0,SEASON 4,15.0,30.0,70.0,Raider,9.0,0.11,Bengaluru Bulls
1124,12.0,Vinod Kumar,30.0,SEASON 4,69.0,1.0,13.0,"Defender, Left Cover",12.0,2.5,Telugu Titans
1125,12.0,Vinod Kumar,30.0,SEASON 4,69.0,1.0,70.0,Raider,9.0,0.11,Bengaluru Bulls
1126,65.0,Vinod Kumar,1.0,SEASON 4,15.0,30.0,13.0,"Defender, Left Cover",12.0,2.5,Telugu Titans
1127,65.0,Vinod Kumar,1.0,SEASON 4,15.0,30.0,70.0,Raider,9.0,0.11,Bengaluru Bulls
1128,65.0,Vinod Kumar,1.0,SEASON 4,69.0,1.0,13.0,"Defender, Left Cover",12.0,2.5,Telugu Titans
1129,65.0,Vinod Kumar,1.0,SEASON 4,69.0,1.0,70.0,Raider,9.0,0.11,Bengaluru Bulls
1130,13.0,Surender Nada,29.0,SEASON 4,13.0,33.0,12.0,"Defender, Left Corner",13.0,2.54,Bengaluru Bulls
1131,13.0,Kuldeep Singh,29.0,SEASON 4,11.0,34.0,14.0,All Rounder,15.0,2.27,Patna Pirates
1132,15.0,Vishal Mane,28.0,SEASON 4,14.0,31.0,15.0,"Defender, Right Cover",14.0,2.21,Bengal Warriors
1133,16.0,Ran Singh,27.0,SEASON 4,16.0,28.0,23.0,All Rounder,16.0,1.75,Jaipur Pink Panthers
1134,17.0,Nilesh Shinde,26.0,SEASON 4,17.0,26.0,16.0,"Defender, Right Corner",12.0,2.17,Bengal Warriors
1135,18.0,Jeeva Kumar,24.0,SEASON 4,17.0,26.0,20.0,"Defender, Right And Left Cover",14.0,1.86,U Mumba
1136,19.0,Rakesh Kumar,23.0,SEASON 4,17.0,26.0,20.0,All Rounder,14.0,1.86,U Mumba
1137,19.0,Girish Maruti Ernak,23.0,SEASON 4,20.0,25.0,18.0,"Defender, Left Corner",12.0,2.08,Bengal Warriors
1138,21.0,Somvir Shekhar,21.0,SEASON 4,22.0,22.0,33.0,"Defender, Right Cover",16.0,1.38,Puneri Paltan
1139,22.0,Bajirao Hodage,20.0,SEASON 4,22.0,22.0,28.0,"Defender, Right Cover",14.0,1.57,Patna Pirates
1140,23.0,D. Suresh Kumar,19.0,SEASON 4,24.0,19.0,34.0,"Defender, Right Cover",14.0,1.36,Dabang Delhi Kc
1141,23.0,Jasmer Singh Gulia,19.0,SEASON 4,24.0,19.0,29.0,All Rounder,13.0,1.46,Telugu Titans
1142,25.0,Rajesh Narwal,18.0,SEASON 4,24.0,19.0,35.0,All Rounder,16.0,1.19,Jaipur Pink Panthers
1143,26.0,Ashish Kumar,17.0,SEASON 4,21.0,23.0,26.0,"Defender, Right Cover",14.0,1.64,Bengaluru Bulls
1144,27.0,Sunil,15.0,SEASON 4,27.0,16.0,27.0,"Defender, Left Corner",10.0,1.6,U Mumba
1145,28.0,C. Arun,14.0,SEASON 4,29.0,15.0,37.0,"Defender, Left Cover",14.0,1.07,Bengal Warriors
1146,28.0,S Mahalingam,14.0,SEASON 4,27.0,16.0,30.0,All Rounder,11.0,1.45,Telugu Titans
1147,30.0,Amit Singh Chhillar,13.0,SEASON 4,31.0,13.0,31.0,"Defender, Left Corner",9.0,1.44,Bengal Warriors
1148,31.0,Sanket Chavan,11.0,SEASON 4,34.0,11.0,22.0,"Defender, Left Corner",6.0,1.83,Dabang Delhi Kc
1149,31.0,Anil Kumar,11.0,SEASON 4,29.0,15.0,25.0,"Defender, Left Corner",9.0,1.67,Dabang Delhi Kc
1150,31.0,Anil Kumar,11.0,SEASON 4,29.0,15.0,48.0,"Defender, Left Cover",4.0,0.5,Patna Pirates
1151,31.0,Anil Kumar,11.0,SEASON 4,57.0,2.0,25.0,"Defender, Left Corner",9.0,1.67,Dabang Delhi Kc
1152,31.0,Anil Kumar,11.0,SEASON 4,57.0,2.0,48.0,"Defender, Left Cover",4.0,0.5,Patna Pirates
1153,57.0,Anil Kumar,2.0,SEASON 4,29.0,15.0,25.0,"Defender, Left Corner",9.0,1.67,Dabang Delhi Kc
1154,57.0,Anil Kumar,2.0,SEASON 4,29.0,15.0,48.0,"Defender, Left Cover",4.0,0.5,Patna Pirates
1155,57.0,Anil Kumar,2.0,SEASON 4,57.0,2.0,25.0,"Defender, Left Corner",9.0,1.67,Dabang Delhi Kc
1156,57.0,Anil Kumar,2.0,SEASON 4,57.0,2.0,48.0,"Defender, Left Cover",4.0,0.5,Patna Pirates
1157,33.0,Prashant Chavan,10.0,SEASON 4,37.0,10.0,36.0,"Defender, Right Corner",9.0,1.11,Dabang Delhi Kc
1158,34.0,Anup Kumar,9.0,SEASON 4,37.0,10.0,44.0,Raider,14.0,0.71,U Mumba
1159,34.0,Hadi Oshtorak,9.0,SEASON 4,32.0,12.0,24.0,All Rounder,7.0,1.71,Patna Pirates
1160,34.0,Meraj Sheykh,9.0,SEASON 4,32.0,12.0,41.0,All Rounder,14.0,0.86,Dabang Delhi Kc
1161,37.0,Kashiling Adake,8.0,SEASON 4,34.0,11.0,42.0,Raider,13.0,0.85,Dabang Delhi Kc
1162,38.0,Mahipal Narwal,7.0,SEASON 4,39.0,9.0,45.0,All Rounder,14.0,0.64,Jaipur Pink Panthers
1163,39.0,Shabeer Bappu,6.0,SEASON 4,34.0,11.0,40.0,Raider,12.0,0.92,Jaipur Pink Panthers
1164,39.0,Rohit Kumar,6.0,SEASON 4,40.0,7.0,48.0,Raider,14.0,0.5,Bengaluru Bulls
1165,39.0,Sagar B Krishna,6.0,SEASON 4,42.0,6.0,47.0,All Rounder,11.0,0.55,Telugu Titans
1166,39.0,Vishal Bhardwaj,6.0,SEASON 4,42.0,6.0,6.0,All Rounder,2.0,3.0,Telugu Titans
1167,43.0,D. Gopu,5.0,SEASON 4,40.0,7.0,32.0,"Defender, Right And Left Corner",5.0,1.4,Dabang Delhi Kc
1168,44.0,Surjeet Narwal,4.0,SEASON 4,45.0,4.0,43.0,Raider,5.0,0.8,Bengal Warriors
1169,44.0,CPO Surjeet Singh,4.0,SEASON 4,45.0,4.0,53.0,Raider,10.0,0.4,Patna Pirates
1170,44.0,Jasvir Singh,4.0,SEASON 4,42.0,6.0,51.0,Raider,14.0,0.43,Jaipur Pink Panthers
1171,44.0,Deepak Niwas Hooda,4.0,SEASON 4,45.0,4.0,59.0,All Rounder,16.0,0.25,Puneri Paltan
1172,44.0,Jang Kun Lee,4.0,SEASON 4,45.0,4.0,55.0,Raider,11.0,0.36,Bengal Warriors
1173,44.0,Manoj Kumar,4.0,SEASON 4,45.0,4.0,48.0,"Defender, Left Cover",8.0,0.5,Bengaluru Bulls
1174,50.0,Rohit Rana,3.0,SEASON 4,53.0,3.0,46.0,"Defender, Left Cover",5.0,0.6,Jaipur Pink Panthers
1175,50.0,Rupesh Tomar,3.0,SEASON 4,53.0,3.0,38.0,All Rounder,3.0,1.0,Telugu Titans
1176,50.0,Rahul Chaudhari,3.0,SEASON 4,45.0,4.0,59.0,Raider,16.0,0.25,Telugu Titans
1177,50.0,Parvesh Bhainswal,3.0,SEASON 4,53.0,3.0,51.0,"Defender, Left Cover",7.0,0.43,Jaipur Pink Panthers
1178,50.0,Umesh Mhatre,3.0,SEASON 4,45.0,4.0,19.0,Raider,2.0,2.0,Dabang Delhi Kc
1179,50.0,Suresu Kumar,3.0,SEASON 4,53.0,3.0,58.0,Raider,11.0,0.27,U Mumba
1180,50.0,Monu Goyat,3.0,SEASON 4,45.0,4.0,57.0,Raider,13.0,0.31,Bengal Warriors
1181,57.0,Jawahar Dagar,2.0,SEASON 4,57.0,2.0,56.0,Raider,6.0,0.33,Jaipur Pink Panthers
1182,57.0,Preetam Chhillar,2.0,SEASON 4,57.0,2.0,59.0,All Rounder,8.0,0.25,Puneri Paltan
1183,57.0,Vijin Thangadurai,2.0,SEASON 4,57.0,2.0,62.0,"Defender, Right Cover",9.0,0.22,Patna Pirates
1184,57.0,Yogesh Hooda,2.0,SEASON 4,57.0,2.0,53.0,Raider,5.0,0.4,Bengaluru Bulls
1185,57.0,Surender Singh,2.0,SEASON 4,57.0,2.0,64.0,Raider,11.0,0.18,U Mumba
1186,57.0,Rahul Kumar,2.0,SEASON 4,57.0,2.0,62.0,"Defender, Right Cover",9.0,0.22,Bengaluru Bulls
1187,57.0,Rajesh Mondal,2.0,SEASON 4,57.0,2.0,66.0,Raider,15.0,0.13,Patna Pirates
1188,65.0,Nitin Madane,1.0,SEASON 4,57.0,2.0,65.0,Raider,13.0,0.15,Bengal Warriors
1189,65.0,Ajay Thakur,1.0,SEASON 4,69.0,1.0,74.0,Raider,16.0,0.06,Puneri Paltan
1190,65.0,Shrikant Tewthia,1.0,SEASON 4,57.0,2.0,,,,,
1191,65.0,Parmod Narwal,1.0,SEASON 4,69.0,1.0,66.0,All Rounder,8.0,0.13,Puneri Paltan
1192,65.0,Pawan Kumar Kadian,1.0,SEASON 4,69.0,1.0,70.0,Raider,9.0,0.11,Bengaluru Bulls
1193,65.0,Nitin Tomar,1.0,SEASON 4,69.0,1.0,72.0,Raider,12.0,0.08,Puneri Paltan
1194,65.0,Nilesh Salunke,1.0,SEASON 4,69.0,1.0,73.0,Raider,15.0,0.07,Telugu Titans
1195,65.0,Hadi Tajik,1.0,SEASON 4,69.0,1.0,,,,,
1196,65.0,Sumit Singh,1.0,SEASON 4,57.0,2.0,,,,,
1197,65.0,Ajay Singh,1.0,SEASON 4,69.0,1.0,38.0,"Defender, Left Corner",1.0,1.0,Bengaluru Bulls
1198,65.0,Ravindra Ramesh Kumawat,1.0,SEASON 4,69.0,1.0,,,,,
1199,65.0,Tushar Patil,1.0,SEASON 4,69.0,1.0,66.0,Raider,8.0,0.13,Jaipur Pink Panthers
1200,65.0,Manoj Dhull,1.0,SEASON 4,69.0,1.0,,,,,
1201,65.0,Pardeep Narwal,1.0,SEASON 4,57.0,2.0,66.0,Raider,16.0,0.13,Patna Pirates
1202,65.0,Deepak Kumar Dahiya,1.0,SEASON 4,69.0,1.0,,,,,
1203,1.0,Manjeet Chhillar,56.0,SEASON 3,1.0,61.0,1.0,All Rounder,15.0,4.07,Puneri Paltan
1204,2.0,Sandeep Narwal,53.0,SEASON 3,2.0,55.0,3.0,All Rounder,14.0,3.93,Patna Pirates
1205,3.0,PO Surjeet Singh,47.0,SEASON 3,3.0,48.0,2.0,"Defender, Right Cover",12.0,4.0,Puneri Paltan
1206,4.0,Mohit Chhillar,44.0,SEASON 3,4.0,46.0,4.0,"Defender, Right Corner",13.0,3.54,U Mumba
1207,5.0,Jasmer Singh Gulia,41.0,SEASON 3,4.0,46.0,9.0,All Rounder,16.0,2.88,Puneri Paltan
1208,6.0,Bajirao Hodage,36.0,SEASON 3,6.0,37.0,12.0,"Defender, Right Cover",16.0,2.31,Bengal Warriors
1209,7.0,Girish Maruti Ernak,33.0,SEASON 3,8.0,33.0,6.0,"Defender, Left Corner",11.0,3.0,Bengal Warriors
1210,8.0,Fazel Atrachali,32.0,SEASON 3,9.0,32.0,8.0,"Defender, Left Corner",11.0,2.91,U Mumba
1211,9.0,Jeeva Kumar,30.0,SEASON 3,11.0,31.0,16.0,"Defender, Right And Left Cover",16.0,1.94,U Mumba
1212,9.0,Nilesh Shinde,30.0,SEASON 3,7.0,34.0,14.0,"Defender, Right Corner",16.0,2.13,Bengal Warriors
1213,11.0,Dharmaraj Cheralathan,28.0,SEASON 3,11.0,31.0,13.0,"Defender, Right And Left Corner",14.0,2.21,Telugu Titans
1214,11.0,Sunil,28.0,SEASON 3,13.0,29.0,17.0,"Defender, Left Corner",15.0,1.93,Patna Pirates
1215,13.0,Sandeep Kumar Dhull,26.0,SEASON 3,9.0,32.0,5.0,"Defender, Left Corner",10.0,3.2,Dabang Delhi Kc
1216,14.0,Ashish Kumar,25.0,SEASON 3,15.0,25.0,18.0,"Defender, Right Cover",13.0,1.92,Bengaluru Bulls
1217,15.0,Ravinder Pahal,22.0,SEASON 3,14.0,26.0,11.0,"Defender, Right Corner",11.0,2.36,Dabang Delhi Kc
1218,16.0,Ran Singh,21.0,SEASON 3,16.0,21.0,25.0,All Rounder,14.0,1.5,Jaipur Pink Panthers
1219,17.0,Somvir,20.0,SEASON 3,16.0,21.0,25.0,"Defender, Left Cover",14.0,1.5,Bengaluru Bulls
1220,18.0,Anil Kumar,19.0,SEASON 3,20.0,19.0,22.0,"Defender, Left Cover",11.0,1.73,Dabang Delhi Kc
1221,19.0,Meraj Sheykh,18.0,SEASON 3,16.0,21.0,25.0,All Rounder,14.0,1.5,Telugu Titans
1222,19.0,Rajesh Narwal,18.0,SEASON 3,16.0,21.0,25.0,All Rounder,14.0,1.5,Jaipur Pink Panthers
1223,21.0,Hadi Oshtorak,17.0,SEASON 3,21.0,18.0,20.0,All Rounder,10.0,1.8,Patna Pirates
1224,22.0,Rakesh Kumar,16.0,SEASON 3,21.0,18.0,36.0,All Rounder,15.0,1.2,U Mumba
1225,22.0,Vinod Kumar,16.0,SEASON 3,27.0,16.0,21.0,"Defender, Left Cover",9.0,1.78,Patna Pirates
1226,22.0,D. Suresh Kumar,16.0,SEASON 3,21.0,18.0,25.0,"Defender, Right Cover",12.0,1.5,Patna Pirates
1227,22.0,Vishal Mane,16.0,SEASON 3,27.0,16.0,35.0,"Defender, Right Cover",13.0,1.23,U Mumba
1228,26.0,Rohit Rana,14.0,SEASON 3,24.0,17.0,30.0,"Defender, Left Cover",12.0,1.42,Jaipur Pink Panthers
1229,27.0,Surender Nada,13.0,SEASON 3,31.0,13.0,19.0,"Defender, Left Corner",7.0,1.86,U Mumba
1230,27.0,Manoj Kumar,13.0,SEASON 3,24.0,17.0,23.0,"Defender, Left Cover",11.0,1.55,Telugu Titans
1231,29.0,Shrikant Tewthia,12.0,SEASON 3,31.0,13.0,38.0,All Rounder,13.0,1.0,Bengaluru Bulls
1232,29.0,Vikas Kale,12.0,SEASON 3,33.0,12.0,32.0,"Defender, Right Cover",9.0,1.33,Telugu Titans
1233,29.0,C. Arun,12.0,SEASON 3,24.0,17.0,23.0,"Defender, Left Cover",11.0,1.55,Jaipur Pink Panthers
1234,29.0,Rahul Kumar,12.0,SEASON 3,29.0,14.0,34.0,"Defender, Right Cover",11.0,1.27,Telugu Titans
1235,33.0,Deepak Kumar Rathee,11.0,SEASON 3,35.0,11.0,49.0,All Rounder,14.0,0.79,Bengaluru Bulls
1236,33.0,Amit Hooda,11.0,SEASON 3,35.0,11.0,10.0,"Defender, Right Corner",4.0,2.75,Patna Pirates
1237,33.0,Kuldeep Singh,11.0,SEASON 3,29.0,14.0,31.0,All Rounder,10.0,1.4,Jaipur Pink Panthers
