,Rank_x,Name,Successful tackles,Season,Rank_y,Tackle points,Rank,Position,Matches played,Avg tackle points,Team
855,121.0,Lokesh Kaushik,2.0,SEASON 6,127.0,2.0,,,,,
856,121.0,Prateek,2.0,SEASON 6,127.0,2.0,,,,,
857,121.0,Deepak Kumar Dahiya,2.0,SEASON 6,115.0,3.0,110.0,Raider,11.0,0.27,Puneri Paltan
858,121.0,Nitin Tomar,2.0,SEASON 6,127.0,2.0,125.0,Raider,11.0,0.18,Puneri Paltan
859,121.0,Abolfazl Maghsodloumahali,2.0,SEASON 6,127.0,2.0,121.0,Raider,10.0,0.2,U Mumba
860,121.0,Bhupender Singh,2.0,SEASON 6,115.0,3.0,,,,,
861,121.0,Jang Kun Lee,2.0,SEASON 6,115.0,3.0,127.0,Raider,18.0,0.17,Bengal Warriors
862,121.0,Sukesh Hegde,2.0,SEASON 6,115.0,3.0,125.0,Raider,17.0,0.18,Tamil Thalaivas
863,121.0,Prashanth Kumar Rai,2.0,SEASON 6,115.0,3.0,133.0,Raider,21.0,0.14,Up Yoddha
864,121.0,Mahendra Ganesh Rajput,2.0,SEASON 6,127.0,2.0,132.0,Raider,13.0,0.15,Gujarat Fortunegiants
865,133.0,Bajirao Hodage,1.0,SEASON 6,138.0,1.0,127.0,"Defender, Right Cover",6.0,0.17,Jaipur Pink Panthers
866,133.0,Tae Deok Eom,1.0,SEASON 6,138.0,1.0,135.0,All Rounder,11.0,0.09,Patna Pirates
867,133.0,Ajay Thakur,1.0,SEASON 6,138.0,1.0,136.0,Raider,22.0,0.05,Tamil Thalaivas
868,133.0,Gangadhari Mallesh,1.0,SEASON 6,127.0,2.0,105.0,Raider,6.0,0.33,Jaipur Pink Panthers
869,133.0,Nithesh B R,1.0,SEASON 6,138.0,1.0,,,,,
870,133.0,Darshan Kadian,1.0,SEASON 6,138.0,1.0,,,,,
871,133.0,Rakesh Narwal,1.0,SEASON 6,138.0,1.0,,,,,
872,133.0,K. Prapanjan,1.0,SEASON 6,138.0,1.0,136.0,Raider,22.0,0.05,Gujarat Fortunegiants
873,133.0,E Subash,1.0,SEASON 6,138.0,1.0,,,,,
874,133.0,N. Shiva Ramakrishna,1.0,SEASON 6,127.0,2.0,,,,,
875,133.0,Anand Surendra Tomar,1.0,SEASON 6,138.0,1.0,,,,,
876,133.0,Tapas Pal,1.0,SEASON 6,138.0,1.0,,,,,
877,133.0,Pankaj,1.0,SEASON 6,138.0,1.0,,,,,
878,133.0,Ajay Kumar,1.0,SEASON 6,138.0,1.0,,,,,
879,133.0,Sombir,1.0,SEASON 6,138.0,1.0,111.0,Defender,4.0,0.25,Telugu Titans
880,133.0,Athul MS,1.0,SEASON 6,138.0,1.0,136.0,Raider,19.0,0.05,Tamil Thalaivas
881,133.0,Amit Kharb,1.0,SEASON 6,127.0,2.0,105.0,"Defender, Right Cover",6.0,0.33,Gujarat Fortunegiants
882,133.0,Vijay Kumar,1.0,SEASON 6,138.0,1.0,111.0,"Defender, Right Corner",4.0,0.25,Patna Pirates
883,133.0,Vikram Kandola,1.0,SEASON 6,138.0,1.0,65.0,"Defender, Left Cover",1.0,1.0,Gujarat Fortunegiants
884,133.0,Kamal Singh,1.0,SEASON 6,127.0,2.0,111.0,Raider,8.0,0.25,Telugu Titans
885,133.0,Armaan,1.0,SEASON 6,127.0,2.0,,,,,
886,133.0,Aashish Nagar,1.0,SEASON 6,138.0,1.0,,,,,
887,1.0,Surender Nada,74.0,SEASON 5,1.0,80.0,1.0,"Defender, Left Corner",21.0,3.81,Haryana Steelers
888,2.0,PO Surjeet Singh,72.0,SEASON 5,2.0,76.0,3.0,"Defender, Right Cover",24.0,3.17,Bengal Warriors
889,3.0,Vishal Bhardwaj,68.0,SEASON 5,3.0,71.0,2.0,All Rounder,22.0,3.23,Telugu Titans
890,4.0,Jaideep,66.0,SEASON 5,3.0,71.0,8.0,"Defender, Left Corner",26.0,2.73,Patna Pirates
891,5.0,Abozar Mohajermighani,63.0,SEASON 5,5.0,65.0,9.0,Defender,24.0,2.71,Gujarat Fortunegiants
892,6.0,Girish Maruti Ernak,61.0,SEASON 5,6.0,64.0,5.0,"Defender, Left Corner",21.0,3.05,Puneri Paltan
893,7.0,Surender Singh,58.0,SEASON 5,8.0,58.0,10.0,"Defender, Right Cover",22.0,2.64,U Mumba
894,7.0,Surender Singh,58.0,SEASON 5,8.0,58.0,131.0,Raider,18.0,0.11,Up Yoddha
895,7.0,Surender Singh,58.0,SEASON 5,120.0,2.0,10.0,"Defender, Right Cover",22.0,2.64,U Mumba
896,7.0,Surender Singh,58.0,SEASON 5,120.0,2.0,131.0,Raider,18.0,0.11,Up Yoddha
897,116.0,Surender Singh,2.0,SEASON 5,8.0,58.0,10.0,"Defender, Right Cover",22.0,2.64,U Mumba
898,116.0,Surender Singh,2.0,SEASON 5,8.0,58.0,131.0,Raider,18.0,0.11,Up Yoddha
899,116.0,Surender Singh,2.0,SEASON 5,120.0,2.0,10.0,"Defender, Right Cover",22.0,2.64,U Mumba
900,116.0,Surender Singh,2.0,SEASON 5,120.0,2.0,131.0,Raider,18.0,0.11,Up Yoddha
901,8.0,Sunil Kumar,55.0,SEASON 5,9.0,57.0,15.0,"Defender, Right Cover",24.0,2.38,Gujarat Fortunegiants
902,8.0,Amit Hooda,55.0,SEASON 5,7.0,61.0,6.0,"Defender, Right Corner",22.0,2.77,Tamil Thalaivas
903,10.0,Fazel Atrachali,54.0,SEASON 5,9.0,57.0,15.0,"Defender, Left Corner",24.0,2.38,Gujarat Fortunegiants
904,11.0,Mahender Singh,52.0,SEASON 5,9.0,57.0,11.0,"Defender, Left Cover",22.0,2.59,Bengaluru Bulls
905,12.0,Ravinder Pahal,49.0,SEASON 5,12.0,52.0,7.0,"Defender, Right Corner",19.0,2.74,Bengaluru Bulls
906,12.0,Sandeep Narwal,49.0,SEASON 5,12.0,52.0,12.0,All Rounder,21.0,2.48,Puneri Paltan
907,12.0,Ran Singh,49.0,SEASON 5,12.0,52.0,18.0,All Rounder,23.0,2.26,Bengal Warriors
908,15.0,Manjeet Chhillar,46.0,SEASON 5,16.0,47.0,4.0,All Rounder,15.0,3.13,Jaipur Pink Panthers
909,15.0,Nitesh Kumar,46.0,SEASON 5,16.0,47.0,13.0,"Defender, Right Corner",19.0,2.47,Up Yoddha
910,17.0,Parvesh Bhainswal,44.0,SEASON 5,15.0,48.0,19.0,"Defender, Left Cover",24.0,2.0,Gujarat Fortunegiants
911,18.0,Darshan J.,39.0,SEASON 5,19.0,40.0,19.0,"Defender, Right Cover",20.0,2.0,Tamil Thalaivas
912,19.0,Jeeva Kumar,37.0,SEASON 5,18.0,44.0,19.0,"Defender, Right And Left Cover",22.0,2.0,Up Yoddha
913,20.0,Vishal Mane,36.0,SEASON 5,20.0,39.0,38.0,"Defender, Right Cover",26.0,1.5,Patna Pirates
914,21.0,Mohit Chhillar,35.0,SEASON 5,20.0,39.0,24.0,"Defender, Right Corner",20.0,1.95,Haryana Steelers
915,22.0,Vijay,34.0,SEASON 5,23.0,37.0,24.0,Raider,19.0,1.95,Patna Pirates
